Description,TotalSalesDollars,ProfitMargin
Barboursville Rsv Cab Franc,143.94,0.33764068361817423
Barco de Piedra Temp Red,407.76,0.35491465567981156
Barcraft Watermelon Fresca V,6294.749999999955,0.8472504865165406
Barefoot Bubbly Berry Fusion,109.88999999999999,0.3333333333333332
Barefoot Bubbly Tropical Fus,459.5400000000001,0.1616181398790095
Barefoot Cellars Cab Svgn,2329.91,0.27804078269117644
Barefoot Cellars Malbec,6333.42999999997,0.23204301424394624
Barefoot Cellars Moscato,1979.4500000000007,0.297820101543358
Barefoot Cellars Rich Red,298.74000000000007,0.12365267456651284
Barefoot Cellars Rosa Red,406.5800000000002,0.7609326577795269
Barefoot Cellars Sweet Red,1495.7700000000007,0.24713642713768752
Barefoot Cellars Winter Red,6105.899999999978,0.3265415417874492
Barefoot Crisp White Spritz,271.65999999999997,0.04586615622469256
Barefoot Perfectly Pink,1145.570000000001,0.30181481707796187
Barefoot Refresh Crisp Red,546.0800000000003,0.4588704951655438
Barefoot Summer Red Spritzer,367.5400000000001,0.16254013168634737
Barefoot Syrah Cal,7928.179999999959,0.3615411490900384
Barefoot Znfdl Cal,613.1800000000001,0.2283855068444599
Barenjager Honey & Bourbon,9154.679999999955,0.6366142781615506
Barkan Clsc Cab Svgn,9121.479999999932,0.34265930528817234
Barkan Clsc Chard,1189.1500000000005,0.3303115670857338
Barkan Clsc Merlot,6015.699999999966,0.3117209967252317
Baron K Kabinett,911.5200000000003,0.527777777777778
Baron La Rose Bordeaux Blanc,1988.1100000000015,0.8015703356454121
Baron de Seillac Brut Rose,311.76,0.31023864511162436
Barra Petite Sirah,160.92999999999998,0.33318834275772063
Barrique Chard,1036.3899999999999,0.10033867559509431
Barsol Primero Quebranta Pso,1457.3200000000004,0.2711552713199573
Bartenura Asti Spumante,2631.149999999997,0.37894076734507653
Bartenura Ovidia Est Chianti,2056.5300000000007,0.5200070020860383
Barton Gin,6347.219999999963,0.2568872671815337
Basilica Amaretto,47.45,0.8507903055848262
Basilica Sambuca,7490.899999999935,0.6575885407627892
Batavia Arrack Rum,31.99,0.28071272272585174
Be. Bright Pnt Grigio,1042.260000000001,0.7443056435054595
Beat 3 Single Malt Whiskey,36.99,0.23384698567180323
Beat 3 White Kosher Whiskey,2426.1699999999973,0.15958898181083656
Beaucanon Merlot Napa,80.97,0.5464987032234161
Beaulieu Cstl Clr Slct Chard,174.75,0.04618025751072957
Beaux Freres Pnt Nr Will Vly,6898.849999999988,0.7926784898932427
Beaux Freres Vyds Pnt Nr,5669.369999999994,0.9373475359696051
Becker Family Pnt Bl,395.7800000000001,0.6470766587498106
Belguardo Serrata Toscana,2957.0399999999963,0.9086924762600437
Bella Bolla Moscato,187.25,0.08411214953271028
Bella Bolla Pink Moscato,456.8900000000002,0.5031407997548646
Bella Bolla Red Moscato,89.88,0.33778371161548726
Bella Bolle Fusione Red,98.89,0.2779856406107796
Bella Italia Pnt Grigio Ter,455.52,0.4193888303477344
Bella Sera Pnt Nr Venezie,155.76,0.3097072419106317
Bellafina Prosecco,1686.4700000000005,0.47071694130343267
Belle Ambiance Chard,352.66000000000014,0.1856178755742078
Ben Marco Cab Svgn,4284.529999999984,0.38412848083686896
Ben Marco Malbec,8271.759999999957,0.38938387960965654
Bench Pnt Nr,1363.38,0.2506271178981649
Benchmark Egg Nog,6931.979999999976,0.29590679719214175
Beniotome Sesame Shochu,4768.4099999999835,0.995342262934605
Benton Lane Pnt Gris Willamt,3853.5899999999997,0.2141286374548323
